,title,recommend,clicks,download,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,emotion
61,"7. Prelude, op.28-15(Rain Drop)_ 쇼팽 : 전주곡 15번 내림 라장조 작품번호 28-15 '빗방울'_waltz",36,7041,3009,BRIGHT,밝은,보통빠르기로,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),waltz,,,,,미분류
62,87. Ich Liebe Dich _ 그대를 사랑해_국악,6,2832,802,감성,국악,보통빠르기로,EMOTIONAL,피아노(PIANO),재분류,해금(HAEGEUM),첼로(CELLO),,,,,미분류
63,36. Ave Maria_ 아베 마리아_bossa nova,13,3244,1141,명상,보통빠르기로,기타(GUITAR),EMOTIONAL,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,미분류
64,35. Ave Maria_ 아베 마리아_swing,4,2511,724,미스터리,MYSTERY,보통빠르기로,기타(GUITAR),Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,미분류
65,34. Ave Maria_ 아베 마리아_ballad,7,2767,884,WHITE,깔끔함,느리게,기타(GUITAR),Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,우울
66,33. Songs my mother taught me op.55-4_ 어머니가 가르쳐 주신 노래 작품노래 55-4_bossa nova,9,2519,769,CHIC,세련,보통빠르기로,기타(GUITAR),Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,미분류
67,32. Songs my mother taught me op.55-4_ 어머니가 가르쳐 주신 노래 작품노래 55-4_swing,7,2840,903,CHIC,세련,보통빠르기로,기타(GUITAR),Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,미분류
68,31. Songs my mother taught me op.55-4_ 어머니가 가르쳐 주신 노래 작품노래 55-4_ballad,7,3589,1028,느리게,기타(GUITAR),SAD,슬픈,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,우울
69,30. Salut D'amour In E Major Op.12_ 사랑의 인사 마장조 작품번호 12_swing,12,4733,1633,BRIGHT,밝은,보통빠르기로,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,,미분류
70,29. Salut D'amour In E Major Op.12_ 사랑의 인사 마장조 작품번호 12_uptempo swing,10,3280,1072,열정,POWERFUL,매우빠르게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),uptempo swing,,,,,기쁨
71,53. Etude No.3 In E Major Op.10-3 'Tristesse'_ 에튀드 제 3번 마장조 작품번호 10-3 '내 맘속을 울리는 그대'_bossa nova,2,2578,651,CHIC,세련,느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,,우울
72,54. Etude No.3 In E Major Op.10-3 'Tristesse'_ 에튀드 제 3번 마장조 작품번호 10-3 '내 맘속을 울리는 그대'_swing,4,2499,726,WHITE,깔끔함,보통빠르기로,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,,미분류
73,55. Je Te Veux_ 난 그대를 원해요_ballad,12,3739,1236,명상,EMOTIONAL,매우느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,,우울
74,37. Jaqueline Du Pre - Jacqueline's Tears_ 자클린의 눈물_ballad,10,3851,1063,명상,느리게,기타(GUITAR),EMOTIONAL,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,우울
75,56. Je Te Veux_ 난 그대를 원해요_swing,10,3101,1128,경쾌,ENERGETIC,보통빠르기로,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,,미분류
76,38. Jaqueline Du Pre - Jacqueline's Tears_ 자클린의 눈물_swing,11,3125,1081,WHITE,깔끔함,보통빠르기로,기타(GUITAR),Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,미분류
77,39. Jaqueline Du Pre - Jacqueline's Tears_ 자클린의 눈물_bossa nova,5,3233,833,느리게,기타(GUITAR),SAD,슬픈,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,우울
78,49. Liebestraum - Love Dream_ 사랑의 꿈_ballad,25,5125,1499,명상,EMOTIONAL,매우느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,,우울
79,50. Liebestraum - Love Dream_ 사랑의 꿈_swing,8,3776,1046,WHITE,깔끔함,보통빠르기로,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,,미분류
80,51. Liebestraum - Love Dream_ 사랑의 꿈_easy listening,1,2425,662,미스터리,MYSTERY,보통빠르기로,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),easy listening,,,,,미분류
